dim,beta,abs_beta
62,0.19044048944714065,0.19044048944714065
108,0.05938048694219922,0.05938048694219922
53,0.0,0.0
50,-0.0,0.0
54,-0.0,0.0
47,0.0,0.0
63,-0.0,0.0
61,0.0,0.0
57,-0.0,0.0
56,0.0,0.0
19,-0.0,0.0
24,-0.0,0.0
25,0.0,0.0
16,-0.0,0.0
126,0.0,0.0
125,-0.0,0.0
124,0.0,0.0
123,-0.0,0.0
120,0.0,0.0
121,0.0,0.0
117,-0.0,0.0
119,-0.0,0.0
112,-0.0,0.0
114,0.0,0.0
113,-0.0,0.0
104,-0.0,0.0
107,-0.0,0.0
109,0.0,0.0
110,-0.0,0.0
111,-0.0,0.0
99,0.0,0.0
96,-0.0,0.0
101,-0.0,0.0
102,0.0,0.0
72,-0.0,0.0
65,0.0,0.0
69,-0.0,0.0
71,0.0,0.0
86,0.0,0.0
84,0.0,0.0
80,0.0,0.0
83,0.0,0.0
91,-0.0,0.0
89,0.0,0.0
93,-0.0,0.0
92,-0.0,0.0
67,0.0,0.0
74,-0.0,0.0
73,-0.0,0.0
79,-0.0,0.0
75,-0.0,0.0
21,-0.0,0.0
22,0.0,0.0
23,-0.0,0.0
17,-0.0,0.0
1,0.0,0.0
2,-0.0,0.0
3,-0.0,0.0
7,-0.0,0.0
8,0.0,0.0
10,0.0,0.0
15,0.0,0.0
30,-0.0,0.0
45,0.0,0.0
42,-0.0,0.0
43,0.0,0.0
41,-0.0,0.0
35,-0.0,0.0
38,0.0,0.0
39,-0.0,0.0
159,-0.0,0.0
158,0.0,0.0
157,0.0,0.0
156,0.0,0.0
146,0.0,0.0
141,-0.0,0.0
140,-0.0,0.0
131,0.0,0.0
188,-0.0,0.0
185,-0.0,0.0
186,0.0,0.0
187,0.0,0.0
178,0.0,0.0
177,-0.0,0.0
181,-0.0,0.0
183,-0.0,0.0
167,-0.0,0.0
166,0.0,0.0
165,0.0,0.0
164,0.0,0.0
171,0.0,0.0
172,-0.0,0.0
173,-0.0,0.0
175,-0.0,0.0
162,0.0,0.0
160,-0.0,0.0
137,-0.0,0.0
139,0.0,0.0
136,-0.0,0.0
129,-0.0,0.0
133,-0.0,0.0
132,0.0,0.0
151,0.0,0.0
144,-0.0,0.0
145,0.0,0.0
