track_id,y_true,oof_gfp,oof_bf,oof_concat
509,0,0.30512927646415283,0.3761768038053359,0.31937820029299635
514,0,0.5049122465692825,0.3659632427539274,0.38725793962304406
518,0,0.3660312328716152,0.7504500677296524,0.6194671633353211
522,0,0.5292935788944797,0.13966093157133616,0.12858143857071055
530,0,0.26861569565058385,0.3301383573865346,0.3424770879683127
544,0,0.24992439720728435,0.16591078369749282,0.07724491280762165
546,0,0.5072776286255175,0.6864908680033511,0.7079868292185415
561,0,0.10290300716956978,0.13598362748817758,0.05867612217362687
575,0,0.32794627338180676,0.5214639190856403,0.2053120213297094
578,0,0.39192262854734083,0.2566858378250317,0.30826654967917344
580,1,0.5071586525545688,0.1893742825339634,0.3009447204662196
599,0,0.21952671415779657,0.16280935506882674,0.11528342670262241
604,0,0.5757746428049224,0.01896488308207457,0.08854869825364546
612,0,0.31022363884901727,0.1563198923408118,0.1161405200302495
615,0,0.3091366424707228,0.4147178147469551,0.35548837532214944
617,0,0.37723879735872196,0.31852004758026103,0.21230249678675642
629,0,0.41765678173794574,0.5833438016644537,0.5201501852898901
635,0,0.41892954900330714,0.23176771310293595,0.21863667298695433
637,0,0.45073854881212816,0.3579866927280335,0.3953820922544042
647,0,0.33804603499184266,0.12308699182281609,0.1301188429191825
653,0,0.10076619646851034,0.15036142494150945,0.04697972594042243
658,0,0.5497924033269147,0.3107356405982206,0.2023043776855657
691,0,0.4014292946520199,0.16168537280397297,0.2249922768381004
692,0,0.33782676341019857,0.44892198387233,0.4462735870513636
700,0,0.35345201993891845,0.824536498906721,0.6763597111668905
712,1,0.3377900696175483,0.4452583037921204,0.3105418691841925
714,0,0.3613066676165584,0.37292832197445824,0.23341898452144774
740,0,0.38588204980262036,0.07210218166522658,0.06740029816551255
741,0,0.3461055430124762,0.44639274681017727,0.25222650117627854
744,0,0.4330088510001566,0.10383143972596527,0.15168384187027073
745,0,0.3953473477265892,0.41511420550864614,0.3059827495372841
752,0,0.1992533150534259,0.9533740517342397,0.6814042147312271
753,0,0.39603519728526887,0.2259641636773101,0.16484486526620631
762,0,0.49006209732082423,0.4307197250125791,0.51860818286302
770,0,0.34956433132893827,0.056516376068890775,0.016164945602362996
778,0,0.3282122765007804,0.2223842322203056,0.24304633484355964
786,0,0.355977516921868,0.599037537820793,0.4945951495984277
794,0,0.1885651424200692,0.7472933033486878,0.3370742752674413
807,0,0.35182267906677506,0.6756126862653876,0.47996873416240615
811,0,0.20117633814355504,0.037136677318384985,0.01580370199965665
814,0,0.44099335437544995,0.6198430802888322,0.5643946188885341
818,0,0.32477918248871984,0.013168557449426608,0.018405004900254287
820,0,0.562839596667675,0.28974115468752093,0.4529901958732616
828,0,0.5279213718070039,0.05212308324578194,0.10408852963782414
854,0,0.36907244986766996,0.30357258320873126,0.24693313497242358
868,0,0.4388883544633373,0.20476293485016536,0.14182340106450522
875,0,0.34472629910490793,0.8132610105082778,0.6264207626724756
885,0,0.30746969142769837,0.03394521219603756,0.10451024722710953
904,0,0.588061855204387,0.09975658379578184,0.2778926027571654
909,0,0.48666521584537625,0.6204309842776423,0.6853752236531069
912,0,0.26855162031425467,0.4853807214104816,0.3068768239852956
980,0,0.41527195365815783,0.7025900975007604,0.3345783350433839
993,0,0.4527514168130116,0.1403902717103709,0.22293309910328366
997,0,0.4277894516204321,0.46325733019978727,0.4401860308149734
1027,0,0.4143012200589672,0.41847080276936843,0.4707097644478541
1032,0,0.4999819598146034,0.7650699061788383,0.703014077520449
1055,0,0.17731996864809885,0.33864716077040175,0.10402130643984171
1073,0,0.3993752261310592,0.8191254503729536,0.6259502100668135
1077,0,0.47414436259967363,0.3996847938698814,0.4430828889930767
1079,1,0.39461685406268426,0.16733693373415662,0.03218394209130153
1089,0,0.6593913942468372,0.20242400421967138,0.41566210829454037
1097,0,0.6404504492020555,0.641990061471815,0.8475495882255321
1109,0,0.4200063539026245,0.3740957636951268,0.24992986599800743
1127,0,0.31337728961341893,0.5836555819773721,0.24747776797235227
1144,0,0.7624773422240121,0.32920660974300314,0.5292745142191757
1148,0,0.7201485159723018,0.18141801236245048,0.5164492962371596
1165,0,0.1941039544315763,0.17132803989083184,0.04660028089678551
1168,0,0.6998738657488057,0.622807056373897,0.6839910197822067
1175,1,0.368637807930197,0.9105329428177118,0.5940412842038525
1191,0,0.8914801628155573,0.3008362004438708,0.831788046419141
1200,1,0.45999658035809415,0.6136301854032533,0.28844460418683443
1203,0,0.5993372342925757,0.2656927448702902,0.3144364066878547
1204,0,0.5369677417679802,0.3524171619030066,0.562590163602248
1216,0,0.39126259154724896,0.06377654659075926,0.16841528460042815
1231,1,0.7205378074449044,0.13588990179801486,0.45273164151653683
1243,1,0.46663113868643075,0.316483726973242,0.33486352542863923
1249,0,0.34910841570883894,0.4488680409140523,0.19748607052014028
1271,0,0.8544188889691756,0.928811193247604,0.9529639079571893
1284,1,0.5028665413377386,0.9155059318927654,0.9179111759124923
1288,0,0.43377589987793036,0.30964683704959367,0.3614726024270069
1298,0,0.4473378835985682,0.3795309038052552,0.4427327670479949
1299,0,0.5442471841351701,0.22852540194287274,0.2738652848946624
1396,0,0.3890097143738916,0.023038986041969925,0.0070308564067081926
1414,1,0.43481288028980475,0.787522801256949,0.45864843299871394
1424,0,0.2208175115112456,0.15602080487789577,0.04450034472879104
1472,0,0.5059175143643473,0.44508157457637276,0.3919474516017875
1475,0,0.49655701640258204,0.2782070441291709,0.3330992036890034
1498,0,0.6118310832152892,0.4841320535127085,0.8254217546416935
1508,1,0.2977459507930369,0.6358297996965514,0.3645930292956582
1510,0,0.3359350223191334,0.9355333265013126,0.5080100355893516
1515,0,0.3955331930293315,0.039676359464472746,0.07301315563947611
1518,0,0.859658589744536,0.2035321817884519,0.5645650544476412
1591,1,0.47853376450551655,0.24327430062233943,0.41325286202095707
1599,0,0.5892513751773637,0.28932016447697345,0.46376974815883293
1602,0,0.5451623738919246,0.19421760348344472,0.2948932440431043
1604,0,0.3481168790813231,0.4603660989665932,0.15328888148918904
1645,0,0.7492256848326179,0.18538600541174335,0.38548416943430386
1662,0,0.39821065868827804,0.04846648173502058,0.10746263623201638
1696,1,0.28391246679381305,0.7762336982127671,0.44592356181179127
1705,0,0.40628167300592255,0.0992990004498747,0.16596852500916387
1719,0,0.3334889424513092,0.32255598412679737,0.18544522441529657
1726,0,0.32225276100954714,0.1950113509074904,0.16387191458659933
1748,0,0.39267978430372485,0.6999451549897402,0.5653756733738707
1775,0,0.4080681865112821,0.0697895169635383,0.13446580434583147
