track_id,y_true,oof_net
752,0,0.48338583111763
753,0,0.4885091185569763
762,0,0.43803203105926514
770,0,0.2840467095375061
778,0,0.4329706132411957
786,0,0.37111788988113403
794,0,0.38295406103134155
807,0,0.366316556930542
811,0,0.37267470359802246
814,0,0.44913724064826965
818,0,0.3976376950740814
820,0,0.5271679162979126
828,0,0.07335995137691498
854,0,0.2916222810745239
868,0,0.4064914584159851
875,0,0.4334210157394409
885,0,0.18486793339252472
904,0,0.5049147605895996
909,0,0.2693479359149933
912,0,0.37629035115242004
980,0,0.24321249127388
993,0,0.2641163468360901
997,0,0.4243271052837372
1027,0,0.4934106171131134
1032,0,0.46588489413261414
1055,0,0.583628237247467
1073,0,0.28434857726097107
1077,0,0.4167937934398651
1079,1,0.0819607526063919
1089,0,0.47981810569763184
1097,0,0.5298174023628235
1109,0,0.350276917219162
1127,0,0.6983822584152222
1144,0,0.47335317730903625
1148,0,0.42017537355422974
1165,0,0.2851256728172302
1168,0,0.6354038715362549
1175,1,0.5208103060722351
1191,0,0.912919282913208
1200,1,0.40234798192977905
1203,0,0.47102516889572144
1204,0,0.39519059658050537
1216,0,0.022930454462766647
1231,1,0.47698482871055603
1243,1,0.5073460936546326
1249,0,0.4844234585762024
1271,0,0.4854499399662018
1284,1,0.6264051198959351
1288,0,0.3571091890335083
1298,0,0.3593364655971527
1299,0,0.4806740880012512
1396,0,0.219744473695755
1414,1,0.4029063880443573
1424,0,0.24227580428123474
1472,0,0.09594649821519852
1475,0,0.4210177958011627
1498,0,0.6422488689422607
1508,1,0.430776983499527
1510,0,0.5185719728469849
1515,0,0.45928192138671875
1518,0,0.5279176831245422
1591,1,0.35235023498535156
1599,0,0.4554043412208557
1602,0,0.2894597053527832
1604,0,0.09349587559700012
1645,0,0.24197359383106232
1662,0,0.43619978427886963
1696,1,0.2906929850578308
1705,0,0.4587112069129944
1719,0,0.4606623649597168
1726,0,0.3842601180076599
1748,0,0.48977965116500854
1775,0,0.3014010787010193
1783,0,0.39653509855270386
1792,1,0.5146774053573608
1810,0,0.5567460656166077
1816,1,0.8227522373199463
1818,0,0.3618946373462677
1822,1,0.5556403994560242
1846,0,0.5401724576950073
1889,0,0.43425121903419495
1892,0,0.5098831653594971
1915,0,0.5096837878227234
1945,1,0.13803960382938385
1963,0,0.41879338026046753
1988,0,0.564207136631012
2000,0,0.36360129714012146
2027,0,0.6632086038589478
2038,1,0.2662789225578308
2041,0,0.4097611904144287
2045,0,0.2797717750072479
2087,0,0.4787217080593109
2113,0,0.34135448932647705
2146,0,0.4543696641921997
2160,0,0.1475449502468109
2167,0,0.6892464756965637
2187,0,0.614974319934845
2192,0,0.4348117709159851
2201,0,0.4475560188293457
2229,0,0.544274628162384
2284,0,0.39286789298057556
2299,0,0.26317113637924194
2302,0,0.42039719223976135
2321,0,0.4148668646812439
2333,0,0.4273899793624878
2339,0,0.5735524296760559
2355,0,0.42418912053108215
2382,0,0.26486408710479736
2420,1,0.5083010196685791
2434,0,0.5179315805435181
2459,1,0.5392639636993408
2473,0,0.2951408624649048
2502,0,0.406892329454422
2528,0,0.620291531085968
2543,0,0.7099630236625671
2565,0,0.46971988677978516
2570,0,0.386027455329895
2571,0,0.37116438150405884
2591,0,0.49662041664123535
2593,0,0.5180649161338806
2604,0,0.32913321256637573
2621,0,0.2606106400489807
2629,0,0.47518348693847656
2692,0,0.4788320064544678
2698,0,0.5462310314178467
2758,0,0.5493940711021423
2787,0,0.45076340436935425
2788,0,0.5262095928192139
2792,0,0.0464530773460865
2958,1,0.6980908513069153
3031,0,0.45545288920402527
3032,1,0.5297562479972839
3085,1,0.5031561851501465
3100,1,0.5919486284255981
3109,0,0.535317599773407
3133,0,0.5222563147544861
3135,1,0.6233363747596741
3174,1,0.9152836203575134
3187,1,0.5532317161560059
3308,1,0.3931131958961487
3329,1,0.7779889702796936
3349,0,0.7646218538284302
3365,1,0.546890139579773
3370,0,0.5020653605461121
3375,0,0.7720379829406738
3386,0,0.43297678232192993
3388,1,0.6191784143447876
3457,1,0.6239332556724548
3488,0,0.3508707582950592
3497,0,0.5108317732810974
3612,1,0.5333879590034485
3642,1,0.5883371829986572
3671,0,0.5017172694206238
3690,0,0.30017489194869995
3727,0,0.39098653197288513
3751,0,0.4991411566734314
3763,0,0.64722740650177
3770,0,0.5533097386360168
3814,0,0.37782934308052063
3823,0,0.3198317885398865
3845,0,0.5873056650161743
3847,0,0.47784459590911865
3859,1,0.5954689383506775
3865,1,0.3663525879383087
3996,0,0.5043182969093323
3997,1,0.5520804524421692
4008,1,0.730538547039032
4029,1,0.5483561754226685
4054,0,0.32179129123687744
4083,1,0.5280765295028687
4126,0,0.9088618159294128
4135,1,0.5727864503860474
4161,1,0.8267553448677063
4169,0,0.5070947408676147
4172,0,0.42016932368278503
4178,0,0.4592020809650421
4240,0,0.5814272165298462
4284,1,0.8822150826454163
4286,1,0.6315001845359802
4290,0,0.552401065826416
4297,0,0.5447347164154053
4310,0,0.3398853838443756
4357,1,0.2987512946128845
4434,1,0.4766530394554138
4655,0,0.25353243947029114
4659,1,0.3105141222476959
