dataset,model_type,features,y_true,oof_prob
A2,GLM,GFP (top-20),1,0.516341
A2,GLM,GFP (top-20),0,0.424722
A2,GLM,GFP (top-20),0,0.303924
A2,GLM,GFP (top-20),0,0.516537
A2,GLM,GFP (top-20),0,0.901844
A2,GLM,GFP (top-20),0,0.451278
A2,GLM,GFP (top-20),0,0.473033
A2,GLM,GFP (top-20),0,0.352956
A2,GLM,GFP (top-20),0,0.356527
A2,GLM,GFP (top-20),0,0.384898
A2,GLM,GFP (top-20),0,0.183228
A2,GLM,GFP (top-20),0,0.363079
A2,GLM,GFP (top-20),0,0.458688
A2,GLM,GFP (top-20),0,0.367627
A2,GLM,GFP (top-20),0,0.901636
A2,GLM,GFP (top-20),0,0.561354
A2,GLM,GFP (top-20),0,0.38818
A2,GLM,GFP (top-20),0,0.793478
A2,GLM,GFP (top-20),0,0.612025
A2,GLM,GFP (top-20),1,0.606343
A2,GLM,GFP (top-20),0,0.395637
A2,GLM,GFP (top-20),1,0.934947
A2,GLM,GFP (top-20),1,0.808118
A2,GLM,GFP (top-20),1,0.722971
A2,GLM,GFP (top-20),0,0.516724
A2,GLM,GFP (top-20),0,0.385293
A2,GLM,GFP (top-20),1,0.59952
A2,GLM,GFP (top-20),1,0.706854
A2,GLM,GFP (top-20),1,0.607315
A2,GLM,GFP (top-20),1,0.827794
A2,GLM,GFP (top-20),1,0.586199
A2,GLM,GFP (top-20),0,0.293082
A2,GLM,GFP (top-20),1,0.430813
A2,GLM,GFP (top-20),0,0.801877
A2,GLM,GFP (top-20),0,0.598324
A2,GLM,GFP (top-20),0,0.353036
A2,GLM,GFP (top-20),1,0.87772
A2,GLM,GFP (top-20),1,0.275887
A2,GLM,GFP (top-20),0,0.170483
A2,GLM,GFP (top-20),0,0.497372
A2,GLM,GFP (top-20),1,0.763366
A2,GLM,GFP (top-20),1,0.552083
A2,GLM,GFP (top-20),0,0.960775
A2,GLM,GFP (top-20),0,0.528809
A2,GLM,GFP (top-20),0,0.51577
A2,GLM,GFP (top-20),0,0.435673
A2,GLM,GFP (top-20),0,0.809875
A2,GLM,GFP (top-20),0,0.562953
A2,GLM,GFP (top-20),0,0.314259
A2,GLM,GFP (top-20),0,0.478118
A2,GLM,GFP (top-20),0,0.510729
A2,GLM,GFP (top-20),0,0.374738
A2,GLM,GFP (top-20),1,0.918506
A2,GLM,GFP (top-20),1,0.477017
A2,GLM,GFP (top-20),0,0.193598
A2,GLM,GFP (top-20),1,0.538086
A2,GLM,GFP (top-20),1,0.949696
A2,GLM,GFP (top-20),1,0.426175
A2,GLM,GFP (top-20),0,0.599636
A2,GLM,GFP (top-20),1,0.383094
A2,GLM,GFP (top-20),0,0.927722
A2,GLM,GFP (top-20),1,0.766181
A2,GLM,GFP (top-20),1,0.816862
A2,GLM,GFP (top-20),0,0.42949
A2,GLM,GFP (top-20),0,0.470704
A2,GLM,GFP (top-20),0,0.564637
A2,GLM,GFP (top-20),0,0.463733
A2,GLM,GFP (top-20),1,0.670555
A2,GLM,GFP (top-20),1,0.474304
A2,GLM,GFP (top-20),0,0.846533
A2,GLM,GFP (top-20),0,0.628027
A2,GLM,GFP (top-20),0,0.370941
A2,GLM,GFP (top-20),1,0.303083
A2,GLM,GFP (top-20),1,0.736115
A2,GLM,GFP (top-20),0,0.614367
A2,GLM,GFP (top-20),1,0.574209
A2,GLM,BF (top-20),1,0.410682
A2,GLM,BF (top-20),0,0.313052
A2,GLM,BF (top-20),0,0.289435
A2,GLM,BF (top-20),1,0.687586
A2,GLM,BF (top-20),0,0.54109
A2,GLM,BF (top-20),0,0.14809
