dataset,model_type,features,y_true,oof_prob
A2,TopKNet,BF (top-20),0,0.437296
A2,TopKNet,BF (top-20),0,0.46693
A2,TopKNet,BF (top-20),0,0.414964
A2,TopKNet,BF (top-20),0,0.4881
A2,TopKNet,BF (top-20),0,0.411964
A2,TopKNet,BF (top-20),0,0.548624
A2,TopKNet,BF (top-20),0,0.458982
A2,TopKNet,BF (top-20),0,0.472983
A2,TopKNet,BF (top-20),0,0.501356
A2,TopKNet,BF (top-20),0,0.480111
A2,TopKNet,BF (top-20),0,0.418222
A2,TopKNet,BF (top-20),0,0.528169
A2,TopKNet,BF (top-20),0,0.424879
A2,TopKNet,BF (top-20),0,0.41106
A2,TopKNet,BF (top-20),1,0.529855
A2,TopKNet,BF (top-20),1,0.478248
A2,TopKNet,BF (top-20),0,0.468436
A2,TopKNet,BF (top-20),0,0.425304
A2,TopKNet,BF (top-20),0,0.490834
A2,TopKNet,BF (top-20),0,0.473617
A2,TopKNet,BF (top-20),0,0.542243
A2,TopKNet,BF (top-20),0,0.465818
A2,TopKNet,BF (top-20),0,0.403034
A2,TopKNet,BF (top-20),0,0.5127
A2,TopKNet,BF (top-20),0,0.463515
A2,TopKNet,BF (top-20),0,0.486432
A2,TopKNet,BF (top-20),0,0.480169
A2,TopKNet,BF (top-20),0,0.604632
A2,TopKNet,BF (top-20),0,0.530197
A2,TopKNet,BF (top-20),0,0.481227
A2,TopKNet,BF (top-20),0,0.417334
A2,TopKNet,BF (top-20),0,0.476687
A2,TopKNet,BF (top-20),0,0.474807
A2,TopKNet,BF (top-20),0,0.668689
A2,TopKNet,BF (top-20),0,0.441505
A2,TopKNet,BF (top-20),1,0.478661
A2,TopKNet,BF (top-20),0,0.478004
A2,TopKNet,BF (top-20),0,0.471179
A2,TopKNet,BF (top-20),0,0.547839
A2,TopKNet,BF (top-20),0,0.487862
A2,TopKNet,BF (top-20),0,0.462697
A2,TopKNet,BF (top-20),0,0.511893
A2,TopKNet,BF (top-20),0,0.521006
A2,TopKNet,BF (top-20),0,0.485323
A2,TopKNet,BF (top-20),0,0.444314
A2,TopKNet,BF (top-20),0,0.452194
A2,TopKNet,BF (top-20),0,0.540957
A2,TopKNet,BF (top-20),0,0.467529
A2,TopKNet,BF (top-20),0,0.456329
A2,TopKNet,BF (top-20),0,0.505696
A2,TopKNet,BF (top-20),1,0.417596
A2,TopKNet,BF (top-20),0,0.412454
A2,TopKNet,BF (top-20),0,0.406547
A2,TopKNet,BF (top-20),0,0.514538
A2,TopKNet,BF (top-20),0,0.523196
A2,TopKNet,BF (top-20),0,0.423253
A2,TopKNet,BF (top-20),0,0.474176
A2,TopKNet,BF (top-20),0,0.460402
A2,TopKNet,BF (top-20),0,0.479971
A2,TopKNet,BF (top-20),0,0.545448
A2,TopKNet,BF (top-20),0,0.518396
A2,TopKNet,BF (top-20),0,0.436075
A2,TopKNet,BF (top-20),0,0.467962
A2,TopKNet,BF (top-20),0,0.422752
A2,TopKNet,BF (top-20),0,0.415368
A2,TopKNet,BF (top-20),0,0.542862
A2,TopKNet,BF (top-20),0,0.45595
A2,TopKNet,BF (top-20),0,0.428194
A2,TopKNet,BF (top-20),0,0.542256
A2,TopKNet,BF (top-20),0,0.448747
A2,TopKNet,BF (top-20),0,0.411271
A2,TopKNet,BF (top-20),0,0.5044
A2,TopKNet,BF (top-20),0,0.462022
A2,TopKNet,BF (top-20),0,0.451586
A2,TopKNet,BF (top-20),0,0.527864
A2,TopKNet,BF (top-20),0,0.467095
A2,TopKNet,BF (top-20),0,0.540143
A2,TopKNet,BF (top-20),0,0.435594
A2,TopKNet,BF (top-20),0,0.564532
A2,TopKNet,BF (top-20),0,0.461322
A2,TopKNet,BF (top-20),0,0.439587
A2,TopKNet,BF (top-20),0,0.428077
A2,TopKNet,BF (top-20),0,0.520889
A2,TopKNet,BF (top-20),0,0.510797
A2,TopKNet,BF (top-20),1,0.535476
A2,TopKNet,BF (top-20),0,0.460518
A2,TopKNet,BF (top-20),0,0.535491
A2,TopKNet,BF (top-20),0,0.415781
A2,TopKNet,BF (top-20),0,0.487054
A2,TopKNet,BF (top-20),0,0.470025
A2,TopKNet,BF (top-20),0,0.437866
A2,TopKNet,BF (top-20),0,0.425747
A2,TopKNet,BF (top-20),0,0.422231
A2,TopKNet,BF (top-20),1,0.465985
A2,TopKNet,BF (top-20),0,0.70975
A2,TopKNet,BF (top-20),1,0.428378
A2,TopKNet,BF (top-20),0,0.470384
A2,TopKNet,BF (top-20),0,0.426154
A2,TopKNet,BF (top-20),0,0.531478
A2,TopKNet,BF (top-20),1,0.456695
A2,TopKNet,BF (top-20),1,0.514163
A2,TopKNet,BF (top-20),0,0.454077
A2,TopKNet,BF (top-20),0,0.503199
A2,TopKNet,BF (top-20),1,0.471685
A2,TopKNet,BF (top-20),0,0.484774
A2,TopKNet,BF (top-20),0,0.539245
A2,TopKNet,BF (top-20),0,0.503251
A2,TopKNet,BF (top-20),0,0.531137
A2,TopKNet,BF (top-20),1,0.467228
A2,TopKNet,BF (top-20),0,0.413006
A2,TopKNet,BF (top-20),0,0.539522
A2,TopKNet,BF (top-20),0,0.443593
A2,TopKNet,BF (top-20),0,0.485616
A2,TopKNet,BF (top-20),1,0.424818
A2,TopKNet,BF (top-20),0,0.468679
A2,TopKNet,BF (top-20),0,0.474892
A2,TopKNet,BF (top-20),0,0.45896
A2,TopKNet,BF (top-20),1,0.452555
A2,TopKNet,BF (top-20),0,0.465023
A2,TopKNet,BF (top-20),0,0.428983
A2,TopKNet,BF (top-20),0,0.535983
A2,TopKNet,BF (top-20),0,0.453504
A2,TopKNet,BF (top-20),0,0.446346
A2,TopKNet,BF (top-20),1,0.469359
A2,TopKNet,BF (top-20),0,0.443423
A2,TopKNet,BF (top-20),0,0.475328
A2,TopKNet,BF (top-20),0,0.429079
A2,TopKNet,BF (top-20),0,0.4733
A2,TopKNet,BF (top-20),0,0.439477
A2,TopKNet,BF (top-20),0,0.463501
A2,TopKNet,BF (top-20),1,0.542511
A2,TopKNet,BF (top-20),0,0.416758
A2,TopKNet,BF (top-20),1,0.545023
A2,TopKNet,BF (top-20),0,0.441229
A2,TopKNet,BF (top-20),1,0.470202
A2,TopKNet,BF (top-20),0,0.484489
A2,TopKNet,BF (top-20),0,0.46499
A2,TopKNet,BF (top-20),0,0.424419
A2,TopKNet,BF (top-20),0,0.417573
A2,TopKNet,BF (top-20),1,0.547188
A2,TopKNet,BF (top-20),0,0.463572
A2,TopKNet,BF (top-20),0,0.494644
A2,TopKNet,BF (top-20),0,0.417255
A2,TopKNet,BF (top-20),0,0.474964
A2,TopKNet,BF (top-20),1,0.433625
A2,TopKNet,BF (top-20),0,0.506171
A2,TopKNet,BF (top-20),0,0.42376
A2,TopKNet,BF (top-20),0,0.476587
A2,TopKNet,BF (top-20),0,0.440671
A2,TopKNet,BF (top-20),0,0.473703
A2,TopKNet,BF (top-20),0,0.546832
A2,TopKNet,BF (top-20),0,0.465557
A2,TopKNet,BF (top-20),0,0.475877
