subset,features,y_true,oof_prob
all_b2r,BF (top-20),0,0.080723
all_b2r,BF (top-20),1,0.287488
all_b2r,BF (top-20),0,0.070298
all_b2r,BF (top-20),0,0.346183
all_b2r,BF (top-20),0,0.123657
all_b2r,BF (top-20),0,0.161102
all_b2r,BF (top-20),0,0.685602
all_b2r,BF (top-20),0,0.02744
all_b2r,BF (top-20),0,0.029863
all_b2r,BF (top-20),0,0.090687
all_b2r,BF (top-20),0,0.31507
all_b2r,BF (top-20),0,0.030651
all_b2r,BF (top-20),1,0.264654
all_b2r,BF (top-20),0,0.787023
all_b2r,BF (top-20),1,0.34551
all_b2r,BF (top-20),0,0.39338
all_b2r,BF (top-20),0,0.18635
all_b2r,BF (top-20),0,0.122092
all_b2r,BF (top-20),0,0.076627
all_b2r,BF (top-20),0,0.277709
all_b2r,BF (top-20),1,0.063887
all_b2r,BF (top-20),0,0.191445
all_b2r,BF (top-20),0,0.31031
all_b2r,BF (top-20),0,0.32057
all_b2r,BF (top-20),0,0.040534
all_b2r,BF (top-20),0,0.516167
all_b2r,BF (top-20),0,0.362333
all_b2r,BF (top-20),1,0.100035
all_b2r,BF (top-20),0,0.765612
all_b2r,BF (top-20),0,0.843478
all_b2r,BF (top-20),0,0.35057
all_b2r,BF (top-20),0,0.154388
all_b2r,BF (top-20),0,0.027167
all_b2r,BF (top-20),0,0.473254
all_b2r,BF (top-20),0,0.869207
all_b2r,BF (top-20),0,0.301088
all_b2r,BF (top-20),0,0.268339
all_b2r,BF (top-20),0,0.796707
all_b2r,BF (top-20),0,0.616101
all_b2r,BF (top-20),0,0.581471
all_b2r,BF (top-20),0,0.428652
all_b2r,BF (top-20),0,0.534375
all_b2r,BF (top-20),0,0.374034
all_b2r,BF (top-20),0,0.789205
all_b2r,BF (top-20),0,0.004102
all_b2r,BF (top-20),0,0.123092
all_b2r,BF (top-20),0,0.631273
all_b2r,BF (top-20),0,0.416532
all_b2r,BF (top-20),0,0.449744
all_b2r,BF (top-20),0,0.491335
all_b2r,BF (top-20),0,0.563198
all_b2r,BF (top-20),0,0.06927
all_b2r,BF (top-20),0,0.435373
