Track_ID,dataset,onset_frame,dist_nearest,n_infected_at_onset,n_within_50,n_within_100,n_within_200
A2_2144,A2,63.0,18.802309908891814,590,2,5,15
A2_2146,A2,65.0,96.56008049796195,625,0,1,4
A2_2149,A2,63.0,33.79878317756662,590,2,2,15
A2_2153,A2,65.0,34.1804540485132,625,1,4,4
A2_2156,A2,65.0,11.094063199231178,625,1,4,10
A2_2160,A2,63.0,63.161514112220566,590,0,6,14
A2_2161,A2,64.0,23.09513011202087,610,1,4,19
A2_2164,A2,64.0,98.52760369331035,610,0,1,14
A2_2167,A2,63.0,73.9726840236568,590,0,1,2
A2_2175,A2,63.0,81.53955402783326,590,0,1,8
A2_2179,A2,64.0,30.246033846027746,610,1,5,18
A2_2181,A2,64.0,61.65417972187509,610,0,1,6
A2_2183,A2,63.0,48.532332327549256,590,1,5,9
A2_2185,A2,65.0,61.135069429874626,625,0,1,9
A2_2186,A2,65.0,31.440923623010534,625,1,1,6
A2_2187,A2,63.0,41.66109214005446,590,1,4,19
A2_2190,A2,64.0,105.06107265380147,610,0,0,3
A2_2191,A2,63.0,94.34579906248482,590,0,1,6
A2_2192,A2,64.0,25.29448976928391,610,2,3,9
A2_2193,A2,65.0,82.56722543915663,625,0,2,10
A2_2194,A2,65.0,57.89068546305889,625,0,1,7
A2_2195,A2,63.0,227.52161405198163,590,0,0,0
A2_2197,A2,63.0,19.865136431032404,590,3,5,14
A2_2199,A2,64.0,21.57778806627896,610,1,3,14
A2_2201,A2,65.0,70.35268304489674,625,0,2,6
A2_2203,A2,64.0,62.27222670373792,610,0,3,10
A2_2207,A2,64.0,70.63516805646378,610,0,2,15
A2_2212,A2,63.0,38.51270822036263,590,2,4,5
A2_2214,A2,63.0,12.297329100625364,590,1,2,12
A2_2216,A2,63.0,20.196534156009786,590,3,6,13
A2_2227,A2,67.0,31.635758702137668,655,2,3,16
A2_2228,A2,64.0,66.4533237433008,610,0,3,20
A2_2229,A2,68.0,10.195736004310536,662,2,6,16
A2_2233,A2,66.0,57.53455834389483,633,0,3,10
A2_2236,A2,67.0,31.645415774298257,655,1,2,11
A2_2239,A2,68.0,40.66234305805346,662,1,4,12
A2_2252,A2,68.0,21.896734984673206,662,2,3,9
A2_2253,A2,64.0,118.21910565985168,610,0,0,5
A2_2261,A2,69.0,64.54962616283196,666,0,2,15
A2_2263,A2,66.0,67.74074703920681,633,0,3,10
A2_2265,A2,69.0,16.795921434189136,666,4,8,15
A2_2272,A2,67.0,63.97429609040526,655,0,1,3
A2_2273,A2,69.0,76.0653670244083,666,0,4,16
A2_2278,A2,67.0,23.411638144014034,655,2,6,12
A2_2281,A2,66.0,21.248611394380088,633,1,1,3
A2_2283,A2,69.0,104.01680527701117,666,0,0,4
A2_2284,A2,67.0,116.46831675450201,655,0,0,17
A2_2295,A2,66.0,65.13325913071841,633,0,1,4
A2_2299,A2,66.0,47.54956445208442,633,1,1,13
A2_2301,A2,66.0,20.687324862417736,633,1,3,11
A2_2302,A2,69.0,88.89313298895291,666,0,2,19
A2_2303,A2,67.0,73.62987892802713,655,0,2,3
A2_2315,A2,68.0,15.873449398689228,662,1,5,13
A2_2317,A2,67.0,54.85631638302281,655,0,3,11
A2_2318,A2,67.0,28.219157343148417,655,2,3,12
A2_2321,A2,66.0,29.93488270901189,633,1,2,12
A2_2323,A2,69.0,48.412019804584105,666,1,3,10
A2_2328,A2,69.0,157.04611175789003,666,0,0,1
A2_2333,A2,68.0,16.43739054297168,662,3,3,4
A2_2334,A2,67.0,78.05054685316175,655,0,4,13
A2_2335,A2,69.0,30.581218364600918,666,2,4,11
A2_2336,A2,67.0,41.85901184154784,655,1,2,4
A2_2339,A2,68.0,52.31377415869607,662,0,2,13
A2_2342,A2,67.0,75.88200739599384,655,0,2,9
A2_2351,A2,73.0,86.54949722247451,708,0,1,8
A2_2355,A2,73.0,84.29598834909379,708,0,1,8
A2_2361,A2,72.0,105.87257916537575,687,0,0,13
A2_2367,A2,73.0,72.69464601365118,708,0,2,10
A2_2371,A2,70.0,46.227081585422404,669,1,4,15
A2_2382,A2,70.0,99.66222267991093,669,0,1,2
A2_2386,A2,71.0,9.807914217877746,689,2,6,19
A2_2390,A2,72.0,30.704427337038297,687,1,4,17
A2_2393,A2,67.0,66.99525754479374,655,0,1,11
A2_2398,A2,72.0,83.51526277660076,687,0,2,7
A2_2399,A2,70.0,14.248671824013847,669,2,4,11
A2_2402,A2,71.0,82.19346417782153,689,0,3,11
A2_2406,A2,72.0,53.999964466855175,687,0,4,18
A2_2408,A2,73.0,152.8864659979189,708,0,0,3
A2_2409,A2,73.0,28.06159619669776,708,1,7,11
A2_2416,A2,70.0,73.99913360395098,669,0,4,16
A2_2417,A2,73.0,64.7279459879901,708,0,3,9
A2_2418,A2,67.0,53.57144146163979,655,0,5,12
A2_2420,A2,73.0,22.022957071164065,708,2,6,24
A2_2430,A2,71.0,38.22224228280332,689,1,5,17
A2_2431,A2,66.0,110.56051645038205,633,0,0,4
A2_2432,A2,70.0,45.549938124401436,669,3,5,17
A2_2433,A2,72.0,51.071973207524366,687,0,2,7
A2_2434,A2,66.0,45.49855123305356,633,1,1,3
A2_2438,A2,72.0,38.36182420448197,687,2,3,6
A2_2439,A2,72.0,37.715455398541444,687,1,2,9
A2_2444,A2,70.0,102.0807905756474,669,0,0,7
A2_2445,A2,67.0,64.30505283345376,655,0,3,17
A2_2449,A2,73.0,68.30464697472868,708,0,2,6
A2_2450,A2,70.0,48.15378541720287,669,1,3,15
A2_2452,A2,70.0,60.74293769438852,669,0,5,16
