Track ID,mean_speed,group
2248,7.34359735733315,non_infected
2254,5.9863405831430185,non_infected
2258,5.5592490280734665,non_infected
2261,9.17602427838782,non_infected
2265,4.551187074831278,non_infected
2266,4.671932352993023,infected
2268,5.64143005205355,infected
2271,9.678658894019428,infected
2282,5.0150088669212876,infected
2297,6.223419478282043,non_infected
2298,5.084201944203642,non_infected
2304,7.370102822795025,non_infected
2310,8.33487282396806,non_infected
2317,4.91621949350437,infected
2320,7.034558439724185,non_infected
2323,7.964210309510371,non_infected
2324,6.6698965620929735,non_infected
2327,9.719891116324467,non_infected
2336,8.756079595874851,non_infected
2354,8.301647316256226,non_infected
2370,7.2791107579965715,infected
2373,6.6510878954308295,non_infected
2376,8.75361807214737,non_infected
2384,7.105459421047317,non_infected
2385,7.281407308023297,non_infected
2392,7.804755543252071,non_infected
2405,10.580645021307852,non_infected
2406,6.7270954459668175,non_infected
2407,8.264371519453904,non_infected
2410,5.050302747789067,infected
2411,7.644958427940688,non_infected
2414,8.649942123751167,non_infected
2415,5.813498125068881,non_infected
2418,8.753033053431087,non_infected
2419,8.75914347905381,non_infected
2423,7.0389206005816,non_infected
2434,6.015061208103497,non_infected
2436,8.570103748324211,non_infected
2439,7.189710397129128,infected
2441,8.987908394685117,non_infected
2443,8.310932706969956,non_infected
2448,7.707232442401298,non_infected
2459,8.698380601322814,non_infected
2460,7.146741871183295,non_infected
2464,6.966632323720645,non_infected
2473,8.274406436081552,non_infected
2477,8.556569162441395,non_infected
2480,8.036253524778042,non_infected
2481,10.991815865159365,non_infected
2483,3.663329416336281,non_infected
2486,7.625280836043543,non_infected
2491,6.376581700448604,non_infected
2495,9.015770314401525,non_infected
2498,8.04687022405156,non_infected
2499,8.817638368946138,non_infected
2502,6.180054706888968,non_infected
2503,4.91671967098725,infected
2507,10.246656985596607,non_infected
2508,7.373638367686785,infected
2512,5.365575544592326,non_infected
2513,10.20451236086572,infected
2515,9.150301573548411,infected
2522,9.980872225312627,non_infected
2523,11.444017634422071,non_infected
2540,9.56648585625304,non_infected
2541,6.824147341877264,non_infected
2545,5.7712036516366085,non_infected
2554,6.861739269053121,non_infected
2558,10.010639063452443,infected
2578,9.097940296791284,non_infected
2590,7.5108944598194585,non_infected
2591,6.413113928545826,non_infected
2592,6.388290609070661,non_infected
2599,7.153994152260049,infected
2602,5.915022443670812,non_infected
2604,7.548469175108186,non_infected
2607,10.392451372210507,non_infected
2615,5.344678573173168,non_infected
2648,8.472320901252127,non_infected
2650,8.805649787889106,non_infected
2658,8.862252826824648,non_infected
2662,6.212933561619079,non_infected
2671,6.674315200994875,non_infected
2672,5.9603383751247545,non_infected
2678,6.62672072893205,infected
2696,5.179349590458394,non_infected
2698,10.216130412088054,non_infected
2699,7.084347039148276,non_infected
2700,6.249162923277202,non_infected
2701,5.5124870662674414,infected
2709,6.560558903200672,non_infected
2713,8.148472975523209,non_infected
2728,5.608512506308853,non_infected
2731,7.358762952714839,non_infected
2736,7.3223584124130845,non_infected
2753,7.0250117151523135,non_infected
2754,9.606690112948062,non_infected
2762,7.214486121955469,non_infected
2763,12.52269871199938,non_infected
2764,5.180430584653899,infected
2765,8.18010164952492,infected
2768,9.329037416997858,non_infected
2769,9.747662572363646,non_infected
2771,9.551301084338117,non_infected
2778,5.367151228656604,infected
2784,4.402935967684625,infected
2785,8.220622662054204,non_infected
2790,5.809402547249351,non_infected
2801,9.387512915205104,non_infected
2809,7.067448651355999,infected
