dim,beta,abs_beta
178,-0.5237000766724894,0.5237000766724894
245,0.5100383391377455,0.5100383391377455
198,0.504289309280314,0.504289309280314
144,-0.4994342769955318,0.4994342769955318
123,-0.47939366865036875,0.47939366865036875
247,-0.45958711968187166,0.45958711968187166
63,0.4521879817500592,0.4521879817500592
68,-0.4447591698006725,0.4447591698006725
162,-0.44157307931524764,0.44157307931524764
133,-0.44074409203289716,0.44074409203289716
190,-0.4383966017731816,0.4383966017731816
31,-0.4382619808044491,0.4382619808044491
3,-0.4128208497062721,0.4128208497062721
240,-0.4065132546938562,0.4065132546938562
130,0.40380592548258554,0.40380592548258554
44,-0.40046642730139376,0.40046642730139376
89,0.39772490370699654,0.39772490370699654
64,0.38941999731180427,0.38941999731180427
201,0.38093788088293473,0.38093788088293473
158,-0.37931718519573765,0.37931718519573765
114,0.3789137212215701,0.3789137212215701
155,0.3747873227462076,0.3747873227462076
62,0.3719944374850915,0.3719944374850915
15,-0.36846273818076525,0.36846273818076525
47,-0.3650008200992964,0.3650008200992964
122,-0.36458750882695423,0.36458750882695423
253,0.36285621047088046,0.36285621047088046
4,-0.35953634438301263,0.35953634438301263
151,-0.3592057181686375,0.3592057181686375
250,0.3494760093855163,0.3494760093855163
67,0.3370197536011034,0.3370197536011034
189,0.3329201473086196,0.3329201473086196
153,-0.33139254416330155,0.33139254416330155
119,0.330858580198482,0.330858580198482
105,-0.32546451401339116,0.32546451401339116
32,-0.3228079342119354,0.3228079342119354
182,-0.32041284693423816,0.32041284693423816
191,-0.31775009326745274,0.31775009326745274
93,-0.3176135052342355,0.3176135052342355
193,0.3173716798642245,0.3173716798642245
246,0.31553204667472373,0.31553204667472373
108,0.3105065635586901,0.3105065635586901
65,-0.30122654588228265,0.30122654588228265
255,-0.2985359866093196,0.2985359866093196
131,0.29747309622744245,0.29747309622744245
230,0.2938317979940033,0.2938317979940033
199,0.29197538123453765,0.29197538123453765
236,-0.2917053343657033,0.2917053343657033
101,-0.29089409151182694,0.29089409151182694
60,-0.2874242388140153,0.2874242388140153
74,-0.27304950667137673,0.27304950667137673
183,-0.27149418712189877,0.27149418712189877
223,0.26807834839356715,0.26807834839356715
132,-0.26445097074353957,0.26445097074353957
232,0.2574726348764562,0.2574726348764562
217,-0.2566062801299119,0.2566062801299119
66,-0.25615424320435476,0.25615424320435476
234,-0.2551963792134987,0.2551963792134987
120,-0.2536269617268641,0.2536269617268641
6,-0.24863652123194985,0.24863652123194985
99,0.2459867483785946,0.2459867483785946
157,-0.24393591090292707,0.24393591090292707
206,0.24137680151502722,0.24137680151502722
36,-0.24096988489299226,0.24096988489299226
11,0.2408868959689674,0.2408868959689674
75,0.23702288896209237,0.23702288896209237
150,0.22000248919023424,0.22000248919023424
102,-0.21849129456768748,0.21849129456768748
72,0.21665007480759968,0.21665007480759968
24,0.21617842857074795,0.21617842857074795
1,0.21349176207526258,0.21349176207526258
90,-0.19919057514210742,0.19919057514210742
117,0.1936948066495858,0.1936948066495858
7,-0.18962540802584485,0.18962540802584485
46,-0.1894956033058854,0.1894956033058854
38,0.18675294622594074,0.18675294622594074
252,-0.18192113420848388,0.18192113420848388
35,0.18070785556410535,0.18070785556410535
17,-0.17985839106867468,0.17985839106867468
