dataset,arch,mode,lambda,track_id,y_cls,oof_prob,y_reg,oof_reg_min
A2+A3,dual_branch,multitask,1.0,1288,0,0.5546233057975769,3120.10400390625,1746.4649658203125
A2+A3,dual_branch,multitask,1.0,1298,0,0.593427836894989,3240.10791015625,1632.317626953125
A2+A3,dual_branch,multitask,1.0,1299,0,0.5862928032875061,1455.0484619140625,1654.487548828125
A2+A3,dual_branch,multitask,1.0,1396,0,0.5856009721755981,1905.0634765625,1693.5338134765625
A2+A3,dual_branch,multitask,1.0,1414,1,0.7099826335906982,150.00498962402344,1374.068359375
A2+A3,dual_branch,multitask,1.0,1424,0,0.5601163506507874,1290.04296875,1702.127685546875
A2+A3,dual_branch,multitask,1.0,1472,0,0.606725811958313,1215.0404052734375,1594.504638671875
A2+A3,dual_branch,multitask,1.0,1475,0,0.657913088798523,3045.101318359375,1439.827392578125
A2+A3,dual_branch,multitask,1.0,1498,0,0.5788680911064148,2520.083984375,1593.6031494140625
A2+A3,dual_branch,multitask,1.0,1508,1,0.6066007018089294,300.0099792480469,1598.96044921875
A2+A3,dual_branch,multitask,1.0,1510,0,0.5690133571624756,1260.0419921875,1683.0618896484375
A2+A3,dual_branch,multitask,1.0,1515,0,0.4843483865261078,1470.0489501953125,1861.3172607421875
A2+A3,dual_branch,multitask,1.0,1518,0,0.5607758164405823,1980.06591796875,1642.0111083984375
A2+A3,dual_branch,multitask,1.0,1591,1,0.589462399482727,630.02099609375,1657.2371826171875
A2+A3,dual_branch,multitask,1.0,1599,0,0.7109181880950928,1890.06298828125,1371.948974609375
A2+A3,dual_branch,multitask,1.0,1602,0,0.4713260233402252,2220.073974609375,1843.9447021484375
A2+A3,dual_branch,multitask,1.0,1604,0,0.5419039130210876,2160.072021484375,1686.43994140625
A2+A3,dual_branch,multitask,1.0,1645,0,0.48657965660095215,2280.075927734375,1923.9637451171875
A2+A3,dual_branch,multitask,1.0,1662,0,0.5864855051040649,1530.0509033203125,1562.479248046875
A2+A3,dual_branch,multitask,1.0,1696,1,0.5397798418998718,840.0279541015625,1797.3929443359375
A2+A3,dual_branch,multitask,1.0,1705,0,0.7472805976867676,1275.04248046875,1288.7685546875
A2+A3,dual_branch,multitask,1.0,1719,0,0.5827428102493286,3030.100830078125,1693.087646484375
A2+A3,dual_branch,multitask,1.0,1726,0,0.5126777291297913,2640.087890625,1744.7806396484375
A2+A3,dual_branch,multitask,1.0,1748,0,0.6413888931274414,1380.0458984375,1524.726318359375
A2+A3,dual_branch,multitask,1.0,1775,0,0.6157341599464417,1680.055908203125,1566.36279296875
A2+A3,dual_branch,multitask,1.0,1783,0,0.6693117022514343,2295.076416015625,1465.0872802734375
A2+A3,dual_branch,multitask,1.0,1792,1,0.4614359140396118,1005.033447265625,1887.1162109375
A2+A3,dual_branch,multitask,1.0,1810,0,0.6719827651977539,1635.054443359375,1403.082275390625
A2+A3,dual_branch,multitask,1.0,1816,1,0.6333759427070618,810.0269775390625,1512.2186279296875
A2+A3,dual_branch,multitask,1.0,1818,0,0.5063970685005188,2655.08837890625,1770.2376708984375
A2+A3,dual_branch,multitask,1.0,1822,1,0.5929988622665405,825.0274658203125,1669.2298583984375
A2+A3,dual_branch,multitask,1.0,1846,0,0.5605840086936951,2850.094970703125,1639.8719482421875
A2+A3,dual_branch,multitask,1.0,1889,0,0.6021071076393127,2430.080810546875,1640.20068359375
A2+A3,dual_branch,multitask,1.0,1892,0,0.4725361764431,2100.06982421875,1853.0784912109375
A2+A3,dual_branch,multitask,1.0,1915,0,0.6761074066162109,1350.044921875,1446.8089599609375
A2+A3,dual_branch,multitask,1.0,1945,1,0.7036588788032532,615.0205078125,1388.2564697265625
A2+A3,dual_branch,multitask,1.0,1963,0,0.5216882228851318,1170.0389404296875,1895.5048828125
A2+A3,dual_branch,multitask,1.0,1988,0,0.5975412726402283,1995.06640625,1623.2657470703125
A2+A3,dual_branch,multitask,1.0,2000,0,0.5964703559875488,2340.077880859375,1623.9171142578125
A2+A3,dual_branch,multitask,1.0,2027,0,0.5511091947555542,2040.06787109375,1665.1473388671875
A2+A3,dual_branch,multitask,1.0,2038,1,0.594664454460144,540.0180053710938,1628.900146484375
A2+A3,dual_branch,multitask,1.0,2041,0,0.5659246444702148,3045.101318359375,1658.571533203125
A2+A3,dual_branch,multitask,1.0,2045,0,0.6835794448852539,2205.073486328125,1435.260986328125
A2+A3,dual_branch,multitask,1.0,2087,0,0.5553323030471802,2475.08251953125,1692.555908203125
A2+A3,dual_branch,multitask,1.0,2113,0,0.5989856719970703,1170.0389404296875,1606.1611328125
A2+A3,dual_branch,multitask,1.0,2146,0,0.6092287302017212,2010.06689453125,1582.7822265625
A2+A3,dual_branch,multitask,1.0,2160,0,0.5548823475837708,2460.08203125,1785.280517578125
A2+A3,dual_branch,multitask,1.0,2167,0,0.6157376766204834,1350.044921875,1568.07470703125
A2+A3,dual_branch,multitask,1.0,2187,0,0.7973498106002808,2370.078857421875,1155.788330078125
A2+A3,dual_branch,multitask,1.0,2192,0,0.5836021900177002,1470.0489501953125,1677.743408203125
A2+A3,dual_branch,multitask,1.0,2201,0,0.6513099670410156,1305.04345703125,1500.0595703125
A2+A3,dual_branch,multitask,1.0,2229,0,0.7906168699264526,1395.0465087890625,1175.90283203125
A2+A3,dual_branch,multitask,1.0,2284,0,0.47637179493904114,2130.071044921875,1876.093994140625
A2+A3,dual_branch,multitask,1.0,2299,0,0.5751726627349854,2085.0693359375,1672.568115234375
A2+A3,dual_branch,multitask,1.0,2302,0,0.6719823479652405,2070.06884765625,1394.661865234375
A2+A3,dual_branch,multitask,1.0,2321,0,0.5832468867301941,2355.078369140625,1654.7479248046875
A2+A3,dual_branch,multitask,1.0,2333,0,0.6752795577049255,3075.102294921875,1382.878662109375
A2+A3,dual_branch,multitask,1.0,2339,0,0.5820084810256958,1830.0609130859375,1680.7037353515625
A2+A3,dual_branch,multitask,1.0,2355,0,0.5907725691795349,1200.0399169921875,1666.3648681640625
A2+A3,dual_branch,multitask,1.0,2382,0,0.4930775463581085,1545.0513916015625,1837.605712890625
A2+A3,dual_branch,multitask,1.0,2420,1,0.6966202855110168,855.0284423828125,1403.14599609375
A2+A3,dual_branch,multitask,1.0,2434,0,0.5960069894790649,1515.0504150390625,1657.314453125
A2+A3,dual_branch,multitask,1.0,2459,1,0.5795451402664185,915.0304565429688,1678.6295166015625
A2+A3,dual_branch,multitask,1.0,2473,0,0.659362256526947,1395.0465087890625,1478.7509765625
A2+A3,dual_branch,multitask,1.0,2502,0,0.5725661516189575,3000.099853515625,1689.7969970703125
A2+A3,dual_branch,multitask,1.0,2528,0,0.5461641550064087,2880.095947265625,1686.52880859375
A2+A3,dual_branch,multitask,1.0,2543,0,0.6706294417381287,1215.0404052734375,1420.327392578125
A2+A3,dual_branch,multitask,1.0,2565,0,0.48996129631996155,2250.074951171875,1831.79443359375
A2+A3,dual_branch,multitask,1.0,2570,0,0.6552167534828186,2970.098876953125,1496.0447998046875
A2+A3,dual_branch,multitask,1.0,2571,0,0.5430241227149963,2400.079833984375,1683.189697265625
A2+A3,dual_branch,multitask,1.0,2591,0,0.7199835777282715,2355.078369140625,1352.039306640625
A2+A3,dual_branch,multitask,1.0,2593,0,0.665033757686615,1335.04443359375,1472.1961669921875
A2+A3,dual_branch,multitask,1.0,2604,0,0.5460325479507446,3060.101806640625,1689.885498046875
A2+A3,dual_branch,multitask,1.0,2621,0,0.5710671544075012,1395.0465087890625,1699.8419189453125
A2+A3,dual_branch,multitask,1.0,2629,0,0.6876763105392456,1350.044921875,1344.2799072265625
A2+A3,dual_branch,multitask,1.0,2692,0,0.5861784219741821,1590.052978515625,1690.64892578125
A2+A3,dual_branch,multitask,1.0,2698,0,0.7436466813087463,2295.076416015625,1167.4915771484375
A2+A3,dual_branch,multitask,1.0,2758,0,0.5838322639465332,1740.0579833984375,1662.491455078125
A2+A3,dual_branch,multitask,1.0,2787,0,0.5019406080245972,3045.101318359375,1949.3818359375
A2+A3,dual_branch,multitask,1.0,2788,0,0.5870095491409302,1905.0634765625,1649.290283203125
A2+A3,dual_branch,multitask,1.0,2792,0,0.7935024499893188,1905.0634765625,994.2976684570312
A2+A3,dual_branch,multitask,1.0,2958,1,0.6559047102928162,585.0194702148438,1448.843505859375
A2+A3,dual_branch,multitask,1.0,3031,0,0.6170239448547363,1980.06591796875,1558.66796875
A2+A3,dual_branch,multitask,1.0,3032,1,0.6581701040267944,930.0309448242188,1454.7537841796875
A2+A3,dual_branch,multitask,1.0,3085,1,0.5860002040863037,855.0284423828125,1666.487060546875
A2+A3,dual_branch,multitask,1.0,3100,1,0.4926993250846863,540.0180053710938,1795.7723388671875
A2+A3,dual_branch,multitask,1.0,3109,0,0.6723600029945374,1905.0634765625,1456.2587890625
A2+A3,dual_branch,multitask,1.0,3133,0,0.7125673294067383,1815.0604248046875,1262.787841796875
A2+A3,dual_branch,multitask,1.0,3135,1,0.5924064517021179,870.0289916992188,1661.7635498046875
A2+A3,dual_branch,multitask,1.0,3174,1,0.5754931569099426,630.02099609375,1519.473388671875
A2+A3,dual_branch,multitask,1.0,3187,1,0.7281317710876465,660.02197265625,1333.57861328125
A2+A3,dual_branch,multitask,1.0,3308,1,0.6117808222770691,750.0249633789062,1574.0791015625
A2+A3,dual_branch,multitask,1.0,3329,1,0.8118236064910889,405.01348876953125,1113.07177734375
A2+A3,dual_branch,multitask,1.0,3349,0,0.8188970685005188,2265.075439453125,851.9136352539062
A2+A3,dual_branch,multitask,1.0,3365,1,0.5514594912528992,645.021484375,1666.069580078125
A2+A3,dual_branch,multitask,1.0,3370,0,0.5758906602859497,1245.04150390625,1501.51611328125
A2+A3,dual_branch,multitask,1.0,3375,0,0.6146540641784668,2370.078857421875,1597.5084228515625
A2+A3,dual_branch,multitask,1.0,3386,0,0.5869165062904358,1650.054931640625,1650.4720458984375
A2+A3,dual_branch,multitask,1.0,3388,1,0.7367835640907288,525.0174560546875,1178.421875
A2+A3,dual_branch,multitask,1.0,3457,1,0.8541483283042908,780.0260009765625,676.021484375
A2+A3,dual_branch,multitask,1.0,3488,0,0.46653318405151367,2160.072021484375,1908.2752685546875
A2+A3,dual_branch,multitask,1.0,3497,0,0.7376180291175842,2160.072021484375,1181.9281005859375
A2+A3,dual_branch,multitask,1.0,3612,1,0.6395400762557983,795.0264892578125,1529.873779296875
A2+A3,dual_branch,multitask,1.0,3642,1,0.6191653609275818,810.0269775390625,1579.2459716796875
A2+A3,dual_branch,multitask,1.0,3671,0,0.49317413568496704,1710.056884765625,1742.37890625
A2+A3,dual_branch,multitask,1.0,3690,0,0.6525012254714966,2565.08544921875,1456.8394775390625
A2+A3,dual_branch,multitask,1.0,3727,0,0.7247362732887268,1695.056396484375,1339.97119140625
A2+A3,dual_branch,multitask,1.0,3751,0,0.5809012055397034,1200.0399169921875,1688.207763671875
A2+A3,dual_branch,multitask,1.0,3763,0,0.7665039300918579,1920.06396484375,1081.7857666015625
A2+A3,dual_branch,multitask,1.0,3770,0,0.5202556252479553,1935.064453125,1712.5511474609375
A2+A3,dual_branch,multitask,1.0,3814,0,0.5420187711715698,2190.072998046875,1685.5054931640625
A2+A3,dual_branch,multitask,1.0,3823,0,0.6673038005828857,1440.0479736328125,1407.703125
A2+A3,dual_branch,multitask,1.0,3845,0,0.6582998037338257,1965.0654296875,1434.5811767578125
